,Location,Scene,Text,Speaker,Season
25473,A coffee shop,,In a few minutes when I gloat over the failure of this enterprise how would you prefer I do it? The standard I told you so? The classic neener-neener? Or just my normal look of haughty derision?,Sheldon,3
25474,The Cheesecake Factory,,Ooh look who’s out on a date. Pasadena’s favourite power couple Shamy.,Penny,5
25475,The clean room,,You know what? At least you guys did something. You know you you had a theory you wrote a paper you made an actual contribution. All guys like this do is just stand on other people’s work.,Howard,8
25476,The apartment," Leonard is stretched face down on the sofa,",Simple! You want a girlfriend Amy wants to be someone’s girlfriend. Take her off my hands. I give you my blessing.,Sheldon,4
25477,Amy’s apartment," Amy is playing the harp,",Uh she’s your friend. Step up.,Leonard,5
25478,The stairwell,,Careful Amy. The friend of my enemy’s girlfriend is my enemy.,Sheldon,7
25479,Leonard’s bedroom,,Me too but I paid three bucks for it.,Leonard,3
25480,The apartment,,No Cinnamon ate the chocolates. That’s really bad for dogs.,Penny,7
25481,The apartment,,I don’t care.,Sheldon,5
25482,The apartment,,Well that’s a little hard to hear but all right. As you know the essence of diplomacy is compromise. With that in mind I propose the following. I will take Rothman’s office and you will find a way to be okay with that.,Sheldon,5
25483,The apartment,,That carrot was delicious.,Penny,8
25484,A corridor at a sperm bank,,Sheldon this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.,Leonard,1
25485,Penny’s apartment,,So this is the plan? From now on we’re just gonna hide out in here to avoid the Shamy?,Penny,4
25486,Penny’s apartment,,Why do you think I’d be like that? I get it you’re taking one class. It’s nice. Maybe if it goes well you take another you enrol full-time. Ooh be sure to keep an eye on which credits transfer to a four-year college.,Leonard,6
25487,Sheldon and Amy’s apartment,,You never know when two pieces of paper might temporarily need fastening in the top left corner.,Sheldon,10
25488,The apartment,,Got you a little something too.,Leonard,7
25489,The train station,,Sheldon.,Leonard,7
25490,Leonard’s car,,That soy Frappuccino I had.,Leonard,8
25491,The Cheesecake Factory,,Because you are not at Big Boy!,Penny,1
25492,The university cafeteria,,Okay in Avatar when they have sex in Pandora they hook up their ponytails so we know their ponytails are like their junk.,Raj,3
25493,Raj’s apartment,,Thanks.,Raj,7
25494,The Comic-con,,Yeah he really is.,Penny,10
25495,Outside Penny’s door," Leonard knocks,",Tonight is Halo night it’s like talking to a wall.,Sheldon,1
25496,The apartment," Sheldon is on his laptop,",Leonard I’m trapped in quicksand the axe is dragging me down.,Sheldon,4
25497,The welcoming party,,Keebler Elf? I’ve got your Keebler Elf right here.  Okay it’s a stalemate.,Howard,1
25498,The living room,,Not Penny me!,Sheldon,3
25499,Leonard’s bedroom," There is a knock on the door,",Me neither. Oh look what I’m reading. It’s you.,Leonard,3
25500,The apartment,,Are you sure you have enough comics? You’re going to be monitoring the telescope for 12 hours and by my estimate you’ve only selected seven hours of reading material. That’s even factoring in your difficulty in parsing American comic book idioms like Bamf and Snikt.,Sheldon,4
25501,The steam tunnel,,Oh. Is it Amy?,Raj,8
25502,The stairwell,,Penny. ,Howard,5
25503,Raj’s apartment,,We might as well go ahead and eat. She’s not coming back anytime soon.,Raj,6
25504,The cafeteria,,Like it was ten hours ago. What about it?,Leonard,5
25505,Sheldon’s classroom,,Wonderful. Now what about Euler-Lagrange theorems?,Sheldon,8
25506,A bar,,That sounds amazing. First movie I’m watching Annie.,Raj,5
25507,Howard and Bernadette’s kitchen,,Hello.,Howard,10
25508,The apartment,,73 is the 21st prime number. Its mirror 37 is the 12th and its mirror 21 is the product of multiplying hang on to your hats seven and three. Eh? Eh? Did I lie?,Sheldon,4
25509,Howard’s house," Sheldon rings the doorbell,",Hi.,Sheldon,5
25510,The apartment,,It’s my father you jerks. Hello Daddy.,Raj,8
25511,Penny’s apartment,,Well it matters a lot. I don’t want to be a bran muffin. I I want to be a Cinnabon you know? A strawberry Pop-Tart. Something you’re excited about even though it could give you diabetes.,Leonard,7
25512,The apartment,,All right Sheldon we’re going to Wil’s. This is your last chance.,Leonard,5
25513,The apartment,,I know. I feel so grown up.,Leonard,9
25514,The university mixer,,I don’t drink.,Sheldon,3
25515,The apartment,,I think I’ll keep it for myself.,Sheldon,6
25516,Outside Penny’s door,,Oh that’s what Amy said. So what’s going on with the research project? Are they gonna let you run it?,Penny,10
25517,Penny’s apartment,,Fine. I’ll have a virgin cuba libre.,Sheldon,1
25518,The laboratory,,It’s just a theory. Uh it’s not even worked out.,Leonard,10
25519,The apartment,,Oh of course. It’s right here in my hand.,Sheldon,5
25520,The lobby," Sheldon is listening to an iPod,",Sorry you diverted me. Anyway in 1935 Erwin Schrodinger in an attempt to explain the Copenhagen interpretation of quantum physics he proposed an experiment where a cat is placed in a box with a sealed vial of poison that will break open at a random time. Now since no-one knows when or if the poison has been released until the box is opened the cat can be thought of as both alive and dead.,Sheldon,1
25521,Inside Penny’s car,,Typically that’s an indicator. To you know check your engine.,Sheldon,2
25522,The lobby," The guys stand around a full sized time machine,",I understand why no-one else bid.,Sheldon,1
25523,Penny’s apartment door,,I suppose that’s one way to look at it.,Sheldon,4
25524,The same," later,",I didn’t say you were I just said she was cute.,Penny,1
25525,Living room," Sheldon is sleeping on the sofa, with his head on Lesley’s Violin case,",Who told you you could touch my board?,Sheldon,1
25526,Penny’s apartment,,I’m making s’mores. I wanted to alert you in case you smelled caramelizing marshmallows and thought a nearby candy factory was on fire.,Sheldon,5
25527,The stairwell," Leonard is carrying a large box,",We were on our way to the Chinese restaurant when we thought we saw Adam West so we followed him.,Leonard,3
25528,The apartment,,No. They’d rather spend the holiday with each other than find out of this is the year I finally touch a starfish. Anyway I wouldn’t want the tickets to go to waste so take whomever you’d like.,Sheldon,9
25529,The apartment,,You know you’re gonna make up with him. Can we just skip to that part?,Penny,9
25530,The pub,,Come on. It’ll be fun.,Leonard,8
25531,The apartment,,So you just want us to disagree with whatever you say?,Leonard,8
25532,The apartment,,Well hey come on just tell me.,Leonard,10
25533,Penny’s apartment,,Oh you’re right. I could never be with a woman whose self-esteem was so low she’d be with Leonard.,Sheldon,9
25534,Outside the coffee shop,,Oh fine. Let’s agree she kissed both of us.,Raj,5
25535,Leonard’s car,,Well cell service is down to one bar so if anyone needs medical attention or to tell a stranger their political views are stupid now’s the time.,Sheldon,9
25536,The comic book store,,You’re really going without me?,Sheldon,9
25537,A corridor at the university,,Man call spoiler alert before you say things like that.,Howard,2
25538,The lobby," Sheldon is listening to an iPod,",Schrodinger? Is that the woman in 2A?,Penny,1
25539,The apartment,,Yeah but they don’t have to glue the books together. How the hell are we going to make a thousand Penny Blossoms in one day?,Penny,2
25540,Leonard’s laboratory,,No I said you were teaching someone a lesson. Now let’s go.,Sheldon,7
25541,Leonard’s room,,Of course sometimes the Federation and the Romulans would enter the Neutral Zone to negotiate a temporary truce.,Leonard,4
25542,The comic book store,,Well…,Leonard,9
25543,Howard’s workshop,,Okay. That’s cool. I guess everybody’s involved in this project but me. So see ya.,Raj,9
25544,The funeral,,And this is also not the right time. Do not propose.,Penny,7
25545,The hallway," Leonard puts a note under Penny’s door, It opens,",Oh.,Leonard,1
25546,The apartment,,And what are you getting him back for?,Leonard,9
25547,Sheldon and Amy’s bedroom,,Oh you’re right. I’m sorry.,Sheldon,10
25548,The apartment,,Yes sir.,Leonard,6
25549,Amy’s lab,,How about your follicle-stimulating hormone levels?,Sheldon,4
25550,Sheldon’s childhood home,,I saw you having naked sex.,Sheldon,7
25551,The apartment,,Really? Great. Sheldon look. Good as new.,Leonard,2
25552,The apartment,,Well obviously you don’t remember your circumcision.,Raj,3
25553,Howard and Bernadette’s apartment,,Course.,Raj,7
25554,Sheldon’s bedroom," Sheldon is packing,",They should. It’s one of the first things I plan to bring up upon arrival.,Sheldon,3
25555,The vets surgery,,She’s gonna be okay; they’re gonna let me take her home.,Raj,7
25556,A parking garage,,Uh yeah uh right here.,Leonard,9
25557,The apartment,,We did not. That’s not true. Can I speak to you alone for a second?,Leonard,8
25558,Leonard’s car,,I’m sorry Raj but the rules of aerial warfare dictate at the fallen kite go to the victor. And without rules the competition has no meaning. And without meaning the following would be an empty gesture.  I have your kite. I have your kite.,Sheldon,3
25559,Sheldon and Leonard’s apartment," Sheldon, Leonard, Howard and Raj are using laptops, All are wearing microphone headsets,",I’ve got him Leonard. Tonight I spice my meat with goblin blood!,Raj,1
25560,Amy’s apartment," Amy is brushing Penny’s hair,",You can’t ruin a friendship with sex. That’s like trying to ruin ice cream with chocolate sprinkles.,Raj,5
25561,The Physics Bowl,,The Velcro on my wrist brace caught on my shirt.,Sheldon,1
25562,Penny’s bedroom,,I’ve never done it on a big old pile of cash before. Me neither Leonard. It’s my first time too.,Leonard,8
25563,The lab,,You only had one.,Leonard,10
25564,Howard and Bernadette’s bedroom,,This means a lot.,Howard,10
25565,Moments later,,It was but one night Sheldon came home from work… ,Leonard,3
25566,The apartment,,Guys this person’s just going out of their way to get a rise out of you.,Raj,8
25567,The apartment," Penny enters, carrying a box,",August 7 842 a.m. This is humiliating. What was wrong with diapers?,Penny,6
25568,The apartment,,Yeah but I don’t see a better one on the horizon so…,Leonard,2
25569,The Comic Book Store,,When did you learn how to pick locks?,Howard,6
25570,The apartment," Howard is looking at his mobile phone,",This is our year! With those guys out the entire physics bowl will kneel before Zod.,Leonard,1
25571,The University cafeteria,,Other people might be interested.,Sheldon,1
25572,A restaurant,,I hate to pile on the bad news but I just got a raise.,Sheldon,7
25573,Penny’s door,,Well now hold on how about this? How about we still hang out but on the down-low?,Leonard,4
25574,Penny’s apartment,,Yeah I know I know that part.,Leonard,1
25575,Wil Wheaton’s house,,Wouldn’t you like to know?,Sheldon,6
25576,The cafeteria,,Stuart and I are putting dating profiles online and it’s one of the questions. And thank you I’d kill for that woman’s bone structure.,Raj,7
25577,The university basement,,Maybe. It’s a prime number. Encryption systems are built on prime numbers.,Raj,6
25578,The apartment,,Yes.,Penny,3
25579,Later,,It won’t work. No way to mount it.,Sheldon,2
